example_id,candidate,reference,bleurt
manual_001,"James greets Professor Austin, presents Emma, and the professor agrees to help next week.",James introduces Emma to Professor Austin and asks about the application process; the professor invites them to stop by his office.,0.40590178966522217
manual_001,"James greets Professor Austin, presents Emma, and the professor agrees to help next week.","James greets Professor Austin, presents Emma, and the professor agrees to help next week.",0.9573042392730713
manual_002,"Two friends exchange greetings, discuss study plans, and part with good wishes.","Jane greets Helen, learns she is heading to the library to study for a history exam, and wishes her luck before saying goodbye.",0.28042346239089966
manual_002,"Two friends exchange greetings, discuss study plans, and part with good wishes.","Two friends exchange greetings, discuss study plans, and part with good wishes.",0.9685982465744019
manual_003,A formal introduction leads to a brief exchange about international trade and UN work.,Margaret formally introduces Mr. Wilson and Dr. Smith; they discover shared professional interests and compliment each otherâ€™s work.,0.2344396412372589
manual_003,A formal introduction leads to a brief exchange about international trade and UN work.,A formal introduction leads to a brief exchange about international trade and UN work.,0.9703965187072754
manual_004,An informal introduction at a party results in friendly small talk and moving to get drinks.,Charles introduces his friend Jim to Mary at a social event; they decide to get a drink together.,0.33160388469696045
manual_004,An informal introduction at a party results in friendly small talk and moving to get drinks.,An informal introduction at a party results in friendly small talk and moving to get drinks.,0.9763115644454956
manual_005,A couple coordinates timing and directions for a dinner event amid evening traffic.,"Natasha worries about being late for a surprise party, but Tony reassures her they have time and asks her to call for directions.",0.2818157374858856
manual_005,A couple coordinates timing and directions for a dinner event amid evening traffic.,A couple coordinates timing and directions for a dinner event amid evening traffic.,0.9614030122756958
manual_006,A friendly phone call results in plans to see a new comedy together.,"John calls Alice to invite her to a movie, and she agrees enthusiastically.",0.24805714190006256
manual_006,A friendly phone call results in plans to see a new comedy together.,A friendly phone call results in plans to see a new comedy together.,0.960931658744812
manual_007,They discuss unexpected cold weather and seek warmth indoors.,Two friends comment on a lingering cold front and decide to go inside as the wind chill lowers the temperature.,0.37526145577430725
manual_007,They discuss unexpected cold weather and seek warmth indoors.,They discuss unexpected cold weather and seek warmth indoors.,0.9790624976158142
manual_001w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_001w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_001w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_001w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_001w_3,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_001w_3,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_002w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_002w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_002w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_002w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_002w_3,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_002w_3,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_003w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_003w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_003w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_003w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_003w_3,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_003w_3,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_003w_4,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_003w_4,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_004w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_004w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_004w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_004w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_004w_3,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_004w_3,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_005w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_005w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_005w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_005w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_006w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_006w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_006w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_006w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_006w_3,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_006w_3,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_007w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_007w_1,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
manual_007w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,Windowed excerpt of the dialogue capturing a coherent exchange.,0.3813092112541199
manual_007w_2,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,0.9674673080444336
author_001,"The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.","A doctor visit conversation where doctor verifies details, offers options, and confirms next steps.",0.5423679351806641
author_001,"The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.","The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.",0.971835732460022
author_002,"The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.","A pharmacy conversation where pharmacist verifies details, offers options, and confirms next steps.",0.531524658203125
author_002,"The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.","The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.",0.9725693464279175
author_003,"The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.","A immigration enquiry conversation where officer verifies details, offers options, and confirms next steps.",0.4622120261192322
author_003,"The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.","The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.",0.9723599553108215
author_004,"The client seeks help; banker provides guidance, sets expectations, and sends confirmation.","A bank inquiry conversation where banker verifies details, offers options, and confirms next steps.",0.5197221636772156
author_004,"The client seeks help; banker provides guidance, sets expectations, and sends confirmation.","The client seeks help; banker provides guidance, sets expectations, and sends confirmation.",0.9708601832389832
author_005,"The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.","A university advising conversation where advisor verifies details, offers options, and confirms next steps.",0.490170419216156
author_005,"The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.","The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.",0.9702262878417969
author_006,"The diner seeks help; server provides guidance, sets expectations, and sends confirmation.","A restaurant order conversation where server verifies details, offers options, and confirms next steps.",0.46462440490722656
author_006,"The diner seeks help; server provides guidance, sets expectations, and sends confirmation.","The diner seeks help; server provides guidance, sets expectations, and sends confirmation.",0.9677009582519531
author_007,"The guest seeks help; receptionist provides guidance, sets expectations, and sends confirmation.","A hotel booking conversation where receptionist verifies details, offers options, and confirms next steps.",0.46062666177749634
author_007,"The guest seeks help; receptionist provides guidance, sets expectations, and sends confirmation.","The guest seeks help; receptionist provides guidance, sets expectations, and sends confirmation.",0.9700428247451782
author_008,"The passenger seeks help; airline_agent provides guidance, sets expectations, and sends confirmation.","A flight change conversation where airline_agent verifies details, offers options, and confirms next steps.",0.48163461685180664
author_008,"The passenger seeks help; airline_agent provides guidance, sets expectations, and sends confirmation.","The passenger seeks help; airline_agent provides guidance, sets expectations, and sends confirmation.",0.9731831550598145
author_009,"The user seeks help; support provides guidance, sets expectations, and sends confirmation.","A tech support conversation where support verifies details, offers options, and confirms next steps.",0.5122148394584656
author_009,"The user seeks help; support provides guidance, sets expectations, and sends confirmation.","The user seeks help; support provides guidance, sets expectations, and sends confirmation.",0.9659289121627808
author_010,"The tenant seeks help; landlord provides guidance, sets expectations, and sends confirmation.","A landlord tenant conversation where landlord verifies details, offers options, and confirms next steps.",0.4807043671607971
author_010,"The tenant seeks help; landlord provides guidance, sets expectations, and sends confirmation.","The tenant seeks help; landlord provides guidance, sets expectations, and sends confirmation.",0.9682400822639465
author_011,"The sender seeks help; clerk provides guidance, sets expectations, and sends confirmation.","A post office conversation where clerk verifies details, offers options, and confirms next steps.",0.4872976541519165
author_011,"The sender seeks help; clerk provides guidance, sets expectations, and sends confirmation.","The sender seeks help; clerk provides guidance, sets expectations, and sends confirmation.",0.9700123071670532
author_012,"The candidate seeks help; interviewer provides guidance, sets expectations, and sends confirmation.","A job interview conversation where interviewer verifies details, offers options, and confirms next steps.",0.47840040922164917
author_012,"The candidate seeks help; interviewer provides guidance, sets expectations, and sends confirmation.","The candidate seeks help; interviewer provides guidance, sets expectations, and sends confirmation.",0.9656202793121338
author_013,"The learner seeks help; teacher provides guidance, sets expectations, and sends confirmation.","A classroom conversation where teacher verifies details, offers options, and confirms next steps.",0.5309327840805054
author_013,"The learner seeks help; teacher provides guidance, sets expectations, and sends confirmation.","The learner seeks help; teacher provides guidance, sets expectations, and sends confirmation.",0.9687246084213257
author_014,"The caller seeks help; agent provides guidance, sets expectations, and sends confirmation.","A call center conversation where agent verifies details, offers options, and confirms next steps.",0.5028383135795593
author_014,"The caller seeks help; agent provides guidance, sets expectations, and sends confirmation.","The caller seeks help; agent provides guidance, sets expectations, and sends confirmation.",0.9663777351379395
author_015,"The customer seeks help; shop_assistant provides guidance, sets expectations, and sends confirmation.","A shopping conversation where shop_assistant verifies details, offers options, and confirms next steps.",0.5488185286521912
author_015,"The customer seeks help; shop_assistant provides guidance, sets expectations, and sends confirmation.","The customer seeks help; shop_assistant provides guidance, sets expectations, and sends confirmation.",0.9758729338645935
author_016,"The caller seeks help; operator provides guidance, sets expectations, and sends confirmation.","A emergency conversation where operator verifies details, offers options, and confirms next steps.",0.472195029258728
author_016,"The caller seeks help; operator provides guidance, sets expectations, and sends confirmation.","The caller seeks help; operator provides guidance, sets expectations, and sends confirmation.",0.9633432030677795
author_017,"The rider seeks help; driver provides guidance, sets expectations, and sends confirmation.","A ride share conversation where driver verifies details, offers options, and confirms next steps.",0.5054003000259399
author_017,"The rider seeks help; driver provides guidance, sets expectations, and sends confirmation.","The rider seeks help; driver provides guidance, sets expectations, and sends confirmation.",0.9654439687728882
author_018,"The casey seeks help; alex provides guidance, sets expectations, and sends confirmation.","A movie plans conversation where alex verifies details, offers options, and confirms next steps.",0.43848973512649536
author_018,"The casey seeks help; alex provides guidance, sets expectations, and sends confirmation.","The casey seeks help; alex provides guidance, sets expectations, and sends confirmation.",0.9700464010238647
author_019,"The fan seeks help; box_office provides guidance, sets expectations, and sends confirmation.","A sports tickets conversation where box_office verifies details, offers options, and confirms next steps.",0.4581220746040344
author_019,"The fan seeks help; box_office provides guidance, sets expectations, and sends confirmation.","The fan seeks help; box_office provides guidance, sets expectations, and sends confirmation.",0.9708665609359741
author_020,"The applicant seeks help; consulate_staff provides guidance, sets expectations, and sends confirmation.","A visa appointment conversation where consulate_staff verifies details, offers options, and confirms next steps.",0.4948934316635132
author_020,"The applicant seeks help; consulate_staff provides guidance, sets expectations, and sends confirmation.","The applicant seeks help; consulate_staff provides guidance, sets expectations, and sends confirmation.",0.9803844690322876
author_021,"The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.","A doctor visit conversation where doctor verifies details, offers options, and confirms next steps.",0.5423679351806641
author_021,"The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.","The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.",0.971835732460022
author_022,"The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.","A pharmacy conversation where pharmacist verifies details, offers options, and confirms next steps.",0.531524658203125
author_022,"The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.","The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.",0.9725693464279175
author_023,"The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.","A immigration enquiry conversation where officer verifies details, offers options, and confirms next steps.",0.4622120261192322
author_023,"The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.","The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.",0.9723599553108215
author_024,"The client seeks help; banker provides guidance, sets expectations, and sends confirmation.","A bank inquiry conversation where banker verifies details, offers options, and confirms next steps.",0.5197221636772156
author_024,"The client seeks help; banker provides guidance, sets expectations, and sends confirmation.","The client seeks help; banker provides guidance, sets expectations, and sends confirmation.",0.9708601832389832
author_025,"The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.","A university advising conversation where advisor verifies details, offers options, and confirms next steps.",0.490170419216156
author_025,"The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.","The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.",0.9702262878417969
author_027,"The guest seeks help; receptionist provides guidance, sets expectations, and sends confirmation.","A hotel booking conversation where receptionist verifies details, offers options, and confirms next steps.",0.46062666177749634
author_027,"The guest seeks help; receptionist provides guidance, sets expectations, and sends confirmation.","The guest seeks help; receptionist provides guidance, sets expectations, and sends confirmation.",0.9700428247451782
author_028,"The passenger seeks help; airline_agent provides guidance, sets expectations, and sends confirmation.","A flight change conversation where airline_agent verifies details, offers options, and confirms next steps.",0.48163461685180664
